Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Bola16	Bola17	Bola18	Bola19	Bola20
J2136	1	2	3	8	9	10	16	22	30	38	44	51	55	62	65	67	70	77	81	99
J2137	7	8	13	29	31	32	34	48	63	64	66	70	72	76	78	79	82	84	86	99
J2138	6	7	8	18	19	25	28	29	30	39	50	51	54	57	74	76	82	92	94	98
J2139	2	7	17	18	21	22	25	29	31	33	42	45	47	52	61	64	65	73	93	97
J2140	5	11	16	17	21	23	24	30	33	39	40	47	48	50	52	78	85	86	89	98
J2141	5	13	16	18	25	31	40	45	47	49	52	54	55	64	65	67	71	77	92	95
J2142	5	7	28	32	33	34	35	40	41	45	55	59	64	72	73	79	80	81	87	88
J2143	2	13	16	29	32	41	48	50	52	58	63	66	70	80	82	83	85	92	96	99
J2144	11	13	16	19	22	25	29	31	33	35	37	47	50	64	66	83	86	87	93	97
J2145	8	12	16	18	22	23	28	29	30	32	34	35	52	66	68	70	73	75	82	98
J2146	1	9	38	42	43	44	45	46	49	51	55	57	65	67	75	83	85	86	88	97
J2147	2	19	24	36	41	44	45	46	61	62	64	67	72	73	76	78	87	88	93	95
J2148	0	1	3	23	24	26	32	41	43	44	46	49	58	59	69	71	80	83	84	95
J2149	11	24	33	39	40	42	47	53	57	58	63	65	67	68	75	85	89	91	93	95
J2150	1	2	13	15	16	19	30	45	46	54	56	59	61	65	72	75	81	82	83	86
J2151	0	4	5	11	24	27	30	31	34	46	50	53	61	64	70	80	83	86	90	96
J2152	2	6	9	27	32	37	45	50	54	62	66	71	73	74	76	82	84	88	90	98
J2153	2	5	13	14	20	28	30	31	40	49	53	59	62	63	66	70	73	80	88	89
J2154	0	7	8	11	12	20	21	34	42	59	60	65	66	73	77	83	84	86	95	99
J2155	2	5	8	9	11	13	26	32	40	43	44	55	66	74	78	81	83	84	90	99
J2156	2	9	14	33	34	36	39	49	50	52	53	54	62	66	74	75	85	92	93	99
J2157	0	4	8	10	17	19	20	21	30	34	41	48	60	62	72	79	88	91	95	96
J2158	0	4	5	6	7	9	21	22	26	27	38	44	45	61	68	73	83	91	96	99
J2159	0	1	11	12	16	18	22	28	29	30	31	34	40	42	52	56	72	76	83	89
J2160	1	9	15	24	25	31	34	35	37	40	41	42	48	56	62	64	65	69	74	79
J2161	20	21	31	40	42	43	44	46	47	51	53	54	62	63	64	68	76	77	84	86
J2162	7	11	21	32	34	35	36	37	45	49	51	58	65	67	70	75	86	87	93	98
J2163	0	2	17	20	23	28	34	45	46	49	50	52	57	62	72	81	86	94	95	99
J2164	2	6	7	12	15	19	21	24	28	47	48	55	60	71	78	84	86	89	91	93
J2165	2	10	11	19	21	34	35	37	42	48	54	55	58	71	74	77	79	82	91	92
J2166	0	3	6	9	13	14	19	21	28	29	40	45	54	56	69	75	76	89	90	94
J2167	2	7	18	26	27	37	38	39	43	47	51	54	57	61	67	71	77	82	88	99
J2168	4	7	9	11	26	32	34	37	49	59	66	68	73	76	79	83	88	92	96	99
J2169	5	7	8	22	28	35	45	51	53	58	61	66	68	70	75	80	81	87	98	99
