Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15
J2271	2	3	5	6	7	8	10	11	16	17	18	19	21	23	24
J2272	1	2	5	7	8	10	11	13	14	15	16	18	21	22	24
J2273	1	2	4	6	7	8	9	10	11	12	13	17	21	23	25
J2274	2	3	4	6	8	9	10	12	16	17	19	20	22	23	24
J2275	1	2	4	5	7	10	11	12	13	14	15	16	19	20	21
J2276	1	4	5	7	10	12	13	14	15	16	17	18	19	20	21
J2277	2	3	5	10	11	12	13	14	15	17	18	21	22	23	24
J2278	2	4	6	7	10	11	12	13	14	16	17	18	20	21	24
J2279	1	3	5	8	10	11	13	14	15	16	17	18	21	22	25
J2280	2	3	4	7	9	12	16	18	19	20	21	22	23	24	25
J2281	2	3	5	6	7	9	10	11	14	15	16	17	18	20	21
J2282	1	2	4	5	6	10	11	12	13	14	18	20	21	23	24
J2283	1	2	5	7	9	10	11	15	17	18	19	20	22	23	25
J2284	1	3	4	8	9	10	11	14	15	17	19	20	21	23	24
J2285	1	2	6	7	8	10	12	13	15	16	18	20	22	23	24
J2286	2	3	6	8	11	12	13	15	16	17	20	22	23	24	25
J2287	1	3	4	6	7	9	10	11	12	14	16	17	18	19	25
J2288	1	2	3	5	7	9	10	11	12	14	19	20	21	22	25
J2289	1	2	5	7	8	10	12	14	15	16	17	19	20	22	25
J2290	2	3	4	5	8	9	10	11	13	15	19	22	23	24	25
J2291	1	5	6	7	9	12	13	14	16	17	19	20	21	24	25
J2292	3	5	6	7	9	10	11	12	13	18	19	20	22	23	24
J2293	1	2	4	5	8	9	11	12	13	16	18	19	20	21	22
J2294	6	7	8	10	11	12	15	16	17	18	19	22	23	24	25
J2295	1	2	6	9	10	11	12	13	14	16	17	20	23	24	25
J2296	2	3	4	8	9	10	12	14	15	16	18	21	22	23	24
J2297	2	3	7	9	11	13	14	15	17	18	20	21	22	24	25
J2298	1	3	4	6	10	12	13	14	16	18	20	21	23	24	25
