Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15
J2571	2	4	5	7	10	14	15	16	17	19	20	21	23	24	25
J2572	1	3	5	7	8	9	11	12	13	14	15	16	21	23	24
J2573	2	6	9	10	11	12	13	15	16	17	18	19	20	22	23
J2574	1	2	3	7	9	10	11	12	14	16	17	19	20	21	25
J2575	2	3	5	6	7	8	10	11	14	15	16	17	21	23	25
J2576	1	2	5	6	7	10	13	15	16	18	19	20	21	24	25
J2577	1	4	6	7	8	9	12	13	14	18	20	21	23	24	25
J2578	1	2	3	4	7	8	9	10	12	14	15	16	20	22	25
J2579	1	3	4	7	8	10	12	15	16	17	18	19	22	23	25
J2580	1	5	7	8	10	11	12	13	14	15	16	18	20	22	25
J2581	1	2	3	4	7	8	11	12	15	16	17	19	20	21	22
J2582	1	3	4	5	8	10	11	12	13	15	16	18	19	21	24
J2583	1	2	5	7	8	10	11	13	14	15	16	18	19	23	24
J2584	3	4	5	7	8	10	11	12	13	14	15	16	22	23	24
J2585	3	4	6	7	8	10	12	17	18	20	21	22	23	24	25
J2586	1	2	7	8	12	13	15	16	18	19	20	21	22	23	24
J2587	3	4	6	7	8	9	11	13	15	16	19	20	21	22	24
J2588	3	4	5	8	9	10	14	15	17	18	21	22	23	24	25
J2589	1	2	4	5	7	8	9	10	14	15	18	21	22	24	25
J2590	1	3	4	5	7	9	10	13	15	16	18	20	21	24	25
J2591	1	2	3	4	5	7	9	11	12	14	17	20	21	23	24
J2592	1	2	4	5	6	7	10	14	15	18	19	21	22	23	25
J2593	1	5	6	8	9	10	12	13	15	17	20	21	22	23	24
J2594	4	5	9	11	12	14	15	16	18	20	21	22	23	24	25
J2595	2	3	4	6	9	10	12	14	16	17	18	20	22	24	25
J2596	2	5	6	9	11	12	13	14	15	16	17	19	20	24	25
J2597	4	7	8	9	11	12	13	14	15	16	17	19	21	23	25
J2598	1	3	6	9	10	11	12	13	14	17	18	19	20	23	25
J2599	1	2	3	4	6	8	9	10	11	13	17	18	19	22	23
J2600	2	5	7	9	10	11	12	14	15	16	18	22	23	24	25
J2601	1	3	4	5	6	7	13	15	16	17	20	21	22	23	24
J2602	1	2	3	4	5	6	8	10	11	12	16	18	19	20	23
J2603	2	3	5	7	9	10	11	13	15	17	19	20	21	24	25
J2604	4	5	6	7	9	12	13	14	15	16	18	19	20	22	23
J2605	1	2	5	7	9	11	12	15	16	19	21	22	23	24	25
J2606	3	6	7	8	9	10	11	14	16	18	19	20	21	23	24
J2607	1	3	5	7	8	9	10	14	16	17	18	22	23	24	25
J2608	1	2	4	8	9	11	12	14	15	17	18	19	23	24	25
J2609	3	5	6	7	9	11	12	15	17	18	19	20	21	24	25
J2610	1	3	5	7	8	9	10	11	12	15	16	17	20	22	24
J2611	2	3	4	5	6	7	8	13	14	15	17	19	21	22	25
J2612	1	3	6	9	10	11	13	16	17	18	19	20	21	23	25
J2613	1	2	3	5	6	8	11	14	15	16	18	19	20	21	25
J2614	1	2	3	4	6	10	13	16	17	19	20	21	23	24	25
J2615	2	3	5	6	8	9	10	14	15	17	19	20	21	22	25
J2616	1	2	3	4	6	7	9	10	12	14	16	18	21	22	25
J2617	1	3	5	6	7	8	10	11	12	13	17	18	22	24	25
J2618	1	2	3	4	5	6	7	9	11	16	17	18	19	20	25
J2619	3	4	5	6	7	9	10	11	12	13	15	16	17	20	25
J2620	1	2	3	5	7	9	10	11	13	14	15	16	18	19	23
J2621	2	3	4	5	7	9	10	11	12	14	15	20	22	23	25
J2622	1	2	3	4	5	6	8	9	10	12	13	17	19	20	25
J2623	1	4	5	6	7	10	11	12	13	15	16	18	22	23	24
J2624	2	4	5	7	8	12	14	17	18	20	21	22	23	24	25
J2625	3	4	5	7	8	9	10	11	12	13	18	19	20	21	25
J2626	3	4	5	6	8	10	11	12	13	14	17	20	22	23	24
J2627	1	3	7	8	9	10	13	14	16	17	20	21	22	24	25
J2628	1	4	9	10	11	12	13	14	15	17	20	21	22	23	25
J2629	2	3	4	5	6	7	9	10	12	13	14	19	21	22	25
J2630	1	2	3	6	8	9	10	13	14	16	17	20	21	22	25
J2631	2	4	5	6	7	8	11	14	17	18	19	20	21	23	24
J2632	1	4	5	7	9	11	12	13	15	16	17	19	20	21	22
J2633	1	3	4	6	9	11	12	14	15	16	17	18	19	24	25
J2634	1	2	3	4	7	9	10	14	15	16	18	20	21	22	24
J2635	2	4	5	6	8	10	11	13	14	15	17	20	21	23	25
J2636	1	3	4	5	7	8	9	10	11	13	15	18	22	24	25
J2637	2	4	5	8	9	10	12	13	19	20	21	22	23	24	25
J2638	2	4	5	9	10	12	14	15	18	19	21	22	23	24	25
J2639	2	3	7	8	9	11	12	14	15	16	18	20	21	22	24
J2640	3	6	7	9	10	11	12	14	15	16	18	19	21	22	25
J2641	1	3	4	5	7	8	9	12	13	14	17	19	20	23	24
J2642	2	4	5	8	9	13	14	15	16	17	19	20	21	22	24
J2643	1	2	3	4	6	9	11	12	13	16	18	19	20	22	25
J2644	1	2	5	6	8	10	11	12	13	15	16	17	18	19	20
J2645	1	2	3	5	6	7	11	12	13	14	15	17	18	20	24
J2646	2	3	6	8	9	10	12	13	14	15	17	20	22	23	25
J2647	1	3	4	5	6	9	10	13	16	17	18	19	22	24	25
J2648	4	7	8	10	11	12	13	14	15	16	17	18	20	22	25
J2649	2	3	6	7	8	10	12	14	15	16	17	19	20	23	24
J2650	2	4	5	6	7	9	11	12	13	14	15	18	19	20	22
J2651	3	4	10	11	12	13	15	16	17	18	19	22	23	24	25
J2652	1	3	4	5	6	8	10	12	14	15	16	17	19	24	25
J2653	2	3	7	8	9	10	12	13	14	15	17	18	19	20	21
J2654	1	3	5	6	9	10	13	15	16	17	19	20	21	24	25
J2655	1	5	6	8	9	11	13	14	15	16	19	20	21	22	23
J2656	2	3	4	7	9	10	11	12	13	17	18	19	20	21	25
J2657	1	2	3	5	6	7	8	10	12	13	15	16	17	21	24
J2658	1	2	3	4	5	8	9	10	12	14	15	16	18	21	24
J2659	1	3	5	7	10	11	13	15	18	19	20	21	22	23	24
J2660	1	2	3	6	8	10	13	14	15	16	18	19	21	24	25
J2661	1	3	4	5	6	8	9	10	12	15	16	17	18	22	25
J2662	3	4	5	6	9	10	12	13	14	16	17	19	20	22	23
J2663	1	3	5	6	7	11	12	13	14	16	18	19	21	22	25
J2664	1	4	5	6	7	8	9	10	11	12	17	18	23	24	25
J2665	3	6	7	8	9	11	12	13	15	16	18	19	20	21	25
J2666	2	3	4	7	8	10	11	12	13	19	20	21	22	23	24
J2667	1	2	3	4	8	9	10	11	13	15	19	20	23	24	25
J2668	1	3	5	8	9	13	15	16	17	18	19	20	22	23	24
J2669	1	4	6	7	8	9	10	11	14	15	19	20	21	24	25
J2670	1	3	5	7	8	13	15	17	18	19	21	22	23	24	25
J2671	1	2	5	7	8	9	10	11	12	13	18	20	21	22	25
J2672	2	3	5	6	9	10	11	13	15	16	17	19	21	22	24
J2673	2	3	4	5	7	8	10	11	12	14	15	20	22	23	24
J2674	1	2	3	4	5	7	8	11	12	13	14	15	16	20	25
J2675	2	4	7	9	10	12	13	14	16	18	20	22	23	24	25
J2676	2	6	8	9	11	13	14	15	16	18	19	21	22	23	25
J2677	1	3	4	6	8	10	11	12	14	16	17	18	21	22	24
J2678	2	4	5	6	7	8	9	10	11	15	16	17	20	22	24
J2679	4	5	6	7	8	9	10	12	13	16	19	20	22	24	25
J2680	1	2	4	5	9	10	11	13	15	16	17	19	20	23	24
J2681	2	4	7	8	10	12	13	14	16	17	18	19	21	22	24
J2682	3	4	6	7	8	9	10	11	12	14	15	16	19	23	24
J2683	1	2	3	4	8	10	11	12	13	14	20	21	22	23	25
J2684	2	4	6	7	8	9	10	11	12	13	15	20	22	23	25
J2685	4	5	6	7	8	9	11	16	17	18	20	21	22	24	25
J2686	1	3	4	5	7	8	9	13	14	15	16	19	20	21	24
J2687	3	4	5	6	7	10	11	13	14	15	16	19	20	21	22
J2688	2	4	5	6	7	8	10	11	14	16	17	18	20	22	25
J2689	2	3	4	5	8	9	10	14	15	16	18	21	22	23	24
J2690	1	3	5	6	7	8	11	12	15	17	18	20	21	23	24
J2691	1	2	6	9	10	11	12	13	15	17	18	19	21	24	25
J2692	1	2	3	4	6	8	9	11	13	14	15	20	21	22	24
J2693	3	7	8	9	10	13	14	15	16	19	20	21	22	24	25
J2694	3	5	7	8	9	10	11	12	13	14	15	20	21	23	24
J2695	1	2	8	9	10	11	12	13	15	17	20	21	23	24	25
J2696	1	2	3	4	6	7	8	9	11	13	14	15	16	18	22
J2697	2	5	6	9	10	11	13	14	15	18	19	20	21	22	25
J2698	1	2	3	4	5	8	9	10	12	17	20	22	23	24	25
J2699	1	3	4	6	7	8	11	13	14	15	16	20	22	23	24
J2700	3	4	5	6	7	9	13	14	16	17	19	21	22	24	25
J2701	1	3	4	5	7	9	12	14	16	18	19	21	22	23	25
J2702	1	2	4	6	7	10	14	15	16	17	18	19	21	23	25
J2703	1	2	5	7	9	10	12	13	14	17	19	20	21	23	24
J2704	2	5	7	8	9	10	11	12	13	16	18	19	20	21	23
J2705	2	3	4	7	8	9	14	16	17	18	19	20	22	24	25
J2706	1	3	4	7	8	9	10	11	12	13	15	18	21	22	25
J2707	1	2	4	5	8	9	10	11	14	15	16	17	18	21	25
J2708	1	2	3	5	6	13	14	16	18	19	21	22	23	24	25
J2709	1	2	3	5	9	10	11	12	13	19	21	22	23	24	25
J2710	1	2	3	4	7	10	11	12	13	14	16	17	20	24	25
J2711	1	3	4	8	11	12	15	16	18	19	20	22	23	24	25
J2712	2	3	8	11	12	13	16	17	18	19	20	22	23	24	25
J2713	2	3	5	6	7	8	9	12	15	18	19	20	21	22	24
J2714	2	3	5	6	8	9	11	13	16	17	18	21	23	24	25
J2715	2	4	6	7	11	12	13	14	15	17	18	19	22	23	25
J2716	1	4	6	8	9	10	13	14	15	17	18	19	20	21	24
J2717	2	3	4	5	9	10	11	14	15	16	17	20	21	22	24
J2718	1	2	3	4	6	7	8	12	15	19	20	21	22	23	25
J2719	1	4	5	6	8	10	11	13	14	15	17	19	22	23	24
J2720	1	4	5	6	7	8	9	11	13	15	17	19	21	22	23
J2721	1	3	5	8	10	11	12	13	14	16	18	19	20	21	25
J2722	1	2	3	4	5	6	8	12	18	20	21	22	23	24	25
J2723	1	2	3	6	7	8	10	12	15	17	20	21	22	23	24
J2724	1	3	5	6	8	12	13	14	17	19	20	21	22	24	25
J2725	1	2	4	5	7	8	9	10	11	12	14	17	22	23	24
J2726	2	5	6	8	9	10	11	14	16	17	18	19	20	21	23
J2727	2	3	4	8	9	10	11	12	13	16	17	18	19	20	23
J2728	1	2	3	4	5	9	10	11	13	14	16	17	18	20	22
J2729	2	4	5	6	8	9	10	12	13	14	19	20	21	22	25
J2730	2	4	7	10	11	13	14	15	16	19	20	21	23	24	25
J2731	1	3	7	8	9	11	12	13	14	18	19	20	21	23	25
J2732	2	3	5	6	8	10	12	15	16	18	19	20	21	24	25
J2733	1	3	4	6	7	8	10	11	12	14	19	21	22	24	25
J2734	1	3	5	6	8	10	11	12	14	15	17	18	21	22	23
J2735	1	2	4	5	6	8	9	11	12	14	17	18	21	23	24
J2736	1	3	6	8	11	12	14	15	17	18	19	20	21	23	25
J2737	3	4	5	7	9	10	11	16	17	18	19	20	23	24	25
J2738	1	3	4	10	11	12	13	14	15	16	19	20	21	24	25
J2739	1	2	3	4	5	6	7	11	13	15	16	18	22	23	25
J2740	2	3	5	6	7	8	9	10	11	13	14	15	17	19	23
J2741	1	2	4	5	6	7	8	9	13	15	18	22	23	24	25
J2742	1	2	4	5	7	9	11	12	13	14	15	17	18	20	22
J2743	1	4	6	8	9	12	13	16	17	18	19	20	22	23	24
J2744	1	2	3	4	6	7	8	9	11	12	15	20	21	23	25
J2745	1	6	7	9	10	11	12	14	15	17	19	22	23	24	25
J2746	1	3	4	6	7	10	11	12	13	17	18	19	23	24	25
J2747	1	2	5	7	8	10	11	12	14	17	18	19	20	21	25
J2748	1	2	4	5	6	8	9	10	12	14	16	19	22	23	24
J2749	2	5	6	7	9	10	12	13	14	16	18	20	21	22	24
J2750	1	2	6	7	8	9	11	13	14	16	17	18	21	22	23
J2751	1	2	3	5	9	10	12	13	15	16	17	19	23	24	25
J2752	2	3	4	7	10	11	12	15	16	17	20	21	22	23	25
J2753	2	5	7	8	11	12	14	16	17	18	20	21	22	24	25
J2754	2	3	4	8	9	10	13	14	16	17	18	19	20	24	25
J2755	1	3	5	7	8	9	10	11	12	15	16	17	21	22	23
J2756	1	2	5	6	8	10	11	12	14	15	18	20	21	22	23
J2757	1	3	5	6	7	8	9	10	12	13	17	18	19	23	25
J2758	1	2	3	4	7	10	11	12	13	16	18	21	22	23	24
J2759	2	3	7	9	10	11	12	13	15	17	18	19	20	21	23
J2760	1	2	4	6	7	10	11	13	14	15	17	18	20	22	24
J2761	1	2	3	4	8	11	13	14	15	17	18	19	20	21	22
J2762	2	5	6	9	10	11	12	13	16	17	19	21	22	23	24
J2763	1	2	4	6	8	9	10	11	13	15	16	18	19	20	23
J2764	1	2	4	5	7	10	11	12	13	16	19	20	23	24	25
J2765	2	3	5	6	7	11	14	15	16	19	20	21	23	24	25
J2766	1	3	4	6	8	9	11	14	15	17	19	21	22	23	25
J2767	2	3	6	7	8	11	15	16	17	18	19	20	21	22	24
J2768	1	4	5	7	9	11	13	14	15	16	19	20	22	23	25
J2769	1	2	3	5	7	8	10	11	12	16	17	18	21	24	25
J2770	2	3	4	6	8	10	11	12	13	15	18	19	20	21	23
J2771	4	6	7	8	9	12	15	16	17	18	19	20	22	23	25
J2772	1	2	5	7	8	9	10	11	12	16	17	19	23	24	25
J2773	1	2	3	4	5	7	11	14	16	18	20	21	22	23	24
J2774	1	2	4	6	8	12	13	15	18	20	21	22	23	24	25
J2775	1	2	3	4	8	12	14	15	18	19	20	22	23	24	25
J2776	1	2	4	5	8	12	13	14	15	17	18	19	20	22	23
J2777	3	6	7	8	9	11	12	13	14	15	17	20	21	24	25
J2778	1	4	5	6	9	10	11	12	13	15	18	19	20	22	25
J2779	1	2	6	7	8	9	10	11	12	15	18	20	21	23	25
J2780	3	4	7	9	10	11	13	14	17	19	20	21	22	23	24
J2781	3	4	5	7	8	10	14	15	16	17	18	20	23	24	25
J2782	1	4	6	9	10	11	12	16	17	18	19	20	22	23	24
J2783	2	4	7	8	9	10	11	13	15	19	20	21	22	24	25
J2784	1	2	3	4	6	7	8	10	11	14	15	19	21	22	25
J2785	1	4	5	9	11	14	15	17	18	19	20	21	23	24	25
J2786	1	2	3	5	6	7	10	12	15	16	17	18	21	23	25
J2787	1	4	7	9	11	12	14	16	18	19	21	22	23	24	25
J2788	2	3	5	6	7	8	9	10	12	14	15	19	20	24	25
J2789	3	4	6	7	8	9	10	12	13	14	15	18	19	20	25
J2790	2	3	5	7	8	9	10	11	12	13	16	20	21	22	25
J2791	3	4	6	8	10	11	14	15	16	17	20	22	23	24	25
J2792	1	3	6	8	9	10	11	13	16	17	18	20	21	23	25
J2793	2	3	4	5	6	7	8	13	14	15	18	20	21	22	24
J2794	1	2	3	5	6	8	10	14	15	16	17	20	21	22	25
J2795	1	2	3	4	5	6	7	8	9	11	15	18	19	22	25
J2796	1	3	4	7	9	10	12	15	16	19	20	21	22	24	25
J2797	3	4	5	6	10	11	13	14	16	18	19	20	22	23	25
J2798	1	2	3	5	7	8	12	14	15	16	18	20	22	23	24
J2799	1	3	6	9	10	11	13	14	15	16	18	20	21	22	23
J2800	2	3	5	6	7	9	13	14	15	16	17	20	21	22	23
J2801	1	2	3	7	9	12	15	16	17	18	19	20	22	24	25
J2802	1	2	3	4	6	8	9	12	13	16	17	18	22	23	25
J2803	1	5	6	7	8	9	12	13	14	16	18	20	21	24	25
J2804	2	3	4	7	8	9	10	11	12	13	14	16	21	23	24
J2805	5	6	7	8	10	11	12	13	14	18	19	20	22	23	25
J2806	1	2	3	4	5	11	12	13	14	16	17	19	20	23	25
J2807	1	3	5	6	7	9	10	11	12	13	14	15	16	22	24
J2808	4	6	8	9	10	12	13	14	15	18	19	20	21	22	24
J2809	1	2	4	5	7	8	13	15	18	19	20	21	22	24	25
J2810	2	4	5	7	10	11	12	13	14	18	19	20	23	24	25
J2811	2	3	4	5	6	7	8	9	10	11	15	16	22	23	25
J2812	1	3	8	11	12	13	14	15	19	20	21	22	23	24	25
J2813	1	2	3	4	7	11	13	14	15	18	19	21	22	24	25
J2814	1	2	4	7	8	11	12	13	15	19	20	22	23	24	25
J2815	3	4	5	6	7	8	9	10	13	16	18	19	22	24	25
J2816	1	2	8	9	11	13	14	15	16	18	19	21	22	24	25
J2817	3	4	5	7	8	12	13	17	18	19	20	21	22	24	25
J2818	1	2	3	4	5	7	9	10	11	12	13	14	15	17	24
J2819	1	2	4	5	6	8	10	11	14	18	20	21	22	23	24
J2820	4	5	6	9	10	12	13	14	17	18	19	20	21	23	25
J2821	2	3	4	5	6	8	9	10	12	13	19	20	21	22	23
J2822	1	3	4	5	6	9	10	11	12	17	20	21	23	24	25
J2823	1	4	6	13	14	15	16	17	18	19	20	21	23	24	25
J2824	1	2	5	7	9	12	13	14	15	16	20	21	22	24	25
J2825	2	3	4	6	7	8	9	14	17	18	20	21	22	24	25
J2826	1	2	3	5	7	9	11	12	13	16	17	18	19	21	23
J2827	1	2	3	5	6	7	10	13	15	16	17	18	19	21	24
J2828	1	5	6	8	11	12	14	15	16	17	18	19	20	21	25
J2829	2	3	5	6	7	8	9	10	11	13	14	15	17	18	25
J2830	2	3	4	8	9	10	11	12	13	17	18	20	21	22	25
J2831	2	3	5	7	10	11	13	14	15	16	17	19	20	22	25
J2832	1	2	3	5	6	11	14	15	16	19	20	21	22	23	24
J2833	2	3	4	5	6	11	13	14	16	18	19	22	23	24	25
J2834	1	6	8	10	11	12	13	14	17	19	20	21	22	23	25
J2835	2	4	6	7	8	9	10	12	13	14	15	16	21	22	25
J2836	1	2	3	4	7	9	12	14	15	17	18	20	21	22	23
J2837	1	2	5	6	8	10	12	17	18	19	20	21	22	24	25
J2838	3	4	5	6	7	8	10	11	12	13	15	16	21	23	25
J2839	1	3	4	5	6	10	12	13	15	16	17	18	20	21	24
J2840	1	2	4	5	6	7	10	11	13	14	16	20	22	24	25
J2841	3	5	6	7	8	9	14	17	18	19	20	21	23	24	25
J2842	3	6	7	8	10	11	12	13	17	18	20	21	22	24	25
J2843	2	4	7	9	10	12	13	16	18	20	21	22	23	24	25
J2844	4	5	6	7	10	11	12	13	14	17	21	22	23	24	25
J2845	1	2	5	7	8	10	11	12	15	17	18	19	20	23	24
J2846	4	6	8	9	10	12	13	14	15	17	19	20	21	23	24
J2847	2	4	5	6	8	9	10	12	13	14	15	18	21	22	24
J2848	1	2	4	6	7	9	11	12	13	16	17	19	23	24	25
J2849	1	2	6	9	10	11	12	15	16	18	19	20	21	24	25
J2850	1	2	6	9	11	12	14	15	16	18	19	20	22	23	24
J2851	1	3	5	6	8	9	10	12	15	16	19	20	21	22	25
J2852	1	2	4	6	8	9	10	12	13	14	15	17	19	22	24
J2853	1	2	3	4	5	9	11	12	13	14	17	21	22	24	25
J2854	1	3	5	7	8	9	10	12	14	15	17	19	20	23	25
J2855	1	2	3	4	7	8	9	10	16	17	19	21	22	23	24
J2856	1	2	3	4	5	7	9	12	15	18	20	22	23	24	25
J2857	1	3	4	6	7	8	9	10	12	15	16	17	19	22	23
J2858	1	2	4	5	6	8	11	12	13	15	17	19	20	22	24
J2859	1	2	5	6	8	9	10	11	12	14	17	18	21	22	25
J2860	1	2	3	4	5	8	9	12	13	14	15	16	18	20	21
J2861	1	5	7	10	11	12	14	15	16	17	18	19	20	21	25
J2862	1	2	3	4	6	8	9	12	13	16	18	20	21	22	23
J2863	1	2	5	6	7	8	9	11	13	14	19	20	21	22	25
J2864	3	4	5	6	7	8	9	10	11	15	16	17	19	22	23
J2865	2	4	5	6	9	11	12	13	14	15	18	20	21	22	23
J2866	1	2	3	7	8	9	11	12	14	16	17	21	22	24	25
J2867	1	5	7	9	10	12	13	14	15	18	20	21	22	23	25
J2868	1	2	3	4	6	7	8	9	10	14	17	22	23	24	25
J2869	1	2	3	4	6	7	9	10	11	13	16	19	23	24	25
J2870	1	2	4	5	7	9	10	11	14	15	16	17	19	22	25
J2871	1	2	5	6	7	8	9	10	12	16	17	20	21	23	25
J2872	1	2	6	7	9	12	13	14	17	18	19	21	22	23	25
J2873	1	6	7	8	10	12	14	15	16	18	21	22	23	24	25
J2874	1	3	4	6	7	9	10	11	12	13	17	18	19	20	23
J2875	1	2	4	6	7	8	9	11	12	13	14	15	18	19	25
J2876	2	3	5	6	7	8	9	10	14	15	16	18	20	22	25
J2877	1	3	7	9	10	12	13	14	15	17	19	20	22	24	25
J2878	1	2	4	5	7	11	12	13	14	15	18	20	21	22	24
J2879	1	2	3	4	6	7	10	12	13	16	17	19	20	24	25
J2880	1	2	4	5	7	8	9	12	13	14	15	21	22	23	25
J2881	1	3	4	6	7	10	11	12	13	16	18	19	20	23	25
J2882	2	3	6	7	9	10	14	16	17	19	20	21	22	23	24
J2883	5	7	8	9	10	11	12	13	15	17	18	19	20	21	25
J2884	1	2	3	6	7	10	11	12	14	16	18	20	21	22	23
J2885	2	3	7	8	10	11	14	16	17	18	19	21	22	23	24
J2886	1	4	5	7	8	9	13	14	15	16	17	19	22	24	25
J2887	1	2	3	7	9	10	11	12	17	18	19	20	21	22	24
J2888	1	2	4	7	8	10	12	13	15	17	19	20	22	24	25
J2889	2	4	6	7	8	10	12	14	15	16	18	20	23	24	25
J2890	1	4	6	7	9	10	11	12	15	16	18	19	20	21	23
J2891	1	2	5	6	10	11	12	13	15	17	18	20	21	23	24
J2892	4	5	6	8	9	10	14	16	17	18	19	20	21	22	23
J2893	1	4	5	6	8	9	10	11	17	19	20	21	23	24	25
J2894	1	2	3	4	5	6	7	8	13	14	15	17	20	22	23
J2895	2	3	5	8	9	11	14	15	16	17	18	21	22	24	25
J2896	1	2	5	7	8	9	11	13	15	16	17	18	20	23	24
J2897	1	7	9	10	11	12	13	14	17	18	19	21	23	24	25
J2898	1	6	9	10	12	14	15	16	17	18	20	21	22	23	24
J2899	2	3	5	7	8	10	13	14	15	16	17	18	19	22	25
J2900	1	3	4	5	6	7	10	11	14	18	19	20	23	24	25
J2901	1	4	5	9	10	13	14	15	16	17	20	21	22	23	25
J2902	2	3	4	5	6	7	8	10	11	13	15	19	21	24	25
J2903	2	3	4	5	10	12	14	16	17	18	20	21	23	24	25
J2904	1	2	4	5	8	9	10	11	14	17	18	20	21	22	24
J2905	1	2	3	4	6	9	10	11	13	14	16	20	22	23	24
J2906	1	2	3	5	6	7	9	13	15	16	17	18	19	20	23
J2907	1	2	3	7	8	9	10	13	14	15	16	17	20	22	23
J2908	5	6	7	10	11	12	13	14	16	17	18	19	20	22	24
J2909	2	5	6	7	9	10	12	16	17	18	19	20	21	23	24
J2910	1	2	6	7	8	9	10	13	15	18	19	20	21	23	24
J2911	3	4	6	8	9	10	11	16	18	19	20	22	23	24	25
J2912	1	2	4	6	10	11	14	15	16	17	19	20	22	23	25
J2913	3	4	6	7	8	9	10	12	15	17	19	21	22	24	25
J2914	3	4	5	6	7	8	9	10	11	16	17	18	20	21	25
J2915	2	4	6	7	9	11	12	13	14	15	16	19	21	23	25
J2916	1	3	5	11	12	14	15	17	18	19	20	21	22	24	25
J2917	3	4	6	9	10	14	15	16	17	19	20	21	23	24	25
J2918	2	6	7	8	10	11	12	14	15	16	18	20	23	24	25
J2919	3	4	5	6	7	9	10	13	16	17	18	20	22	24	25
J2920	1	2	4	5	6	7	9	10	12	13	14	17	18	21	22
J2921	1	3	4	7	9	13	14	15	16	17	18	19	21	22	24
J2922	1	2	4	5	6	8	11	12	13	15	16	17	19	21	24
J2923	4	6	7	9	11	12	13	16	17	18	20	22	23	24	25
J2924	2	3	4	5	6	7	8	9	12	13	14	18	20	23	24
J2925	3	4	5	6	7	8	9	10	11	18	21	22	23	24	25
J2926	1	2	3	4	7	8	9	13	15	17	18	19	22	24	25
J2927	1	4	7	8	9	11	12	14	15	16	17	21	22	23	24
J2928	1	3	4	6	7	9	13	14	15	16	17	18	19	21	24
J2929	1	2	4	6	7	9	11	12	15	17	18	20	21	24	25
J2930	1	2	3	4	6	7	9	10	11	14	16	19	21	22	23
J2931	1	2	4	5	6	7	11	13	14	16	17	18	19	20	21
J2932	2	5	6	7	8	9	10	11	14	16	17	18	20	21	24
J2933	1	2	3	4	6	7	8	10	14	15	17	18	20	22	25
J2934	2	3	6	7	8	10	11	12	13	16	18	19	20	23	24
J2935	1	3	4	6	8	9	13	14	15	19	20	21	22	24	25
J2936	1	4	8	9	10	11	12	13	16	18	19	20	21	23	24
J2937	1	2	3	4	5	6	8	9	10	13	17	21	23	24	25
J2938	1	2	3	4	5	6	8	9	10	11	15	17	20	21	24
J2939	2	3	5	6	7	9	10	11	12	13	17	18	20	22	23
J2940	1	2	5	7	8	9	11	12	13	14	15	20	21	24	25
J2941	4	5	6	7	8	10	11	12	14	17	20	21	22	24	25
J2942	4	5	6	7	8	9	10	14	16	17	18	19	20	23	25
J2943	1	4	5	8	9	10	11	12	15	16	17	18	19	20	25
J2944	1	2	4	5	6	7	11	12	13	15	17	18	20	21	24
J2945	5	6	7	8	10	13	14	15	17	18	19	20	21	22	25
J2946	1	3	4	5	10	12	13	14	15	16	19	20	23	24	25
J2947	2	3	4	6	7	8	9	11	12	13	15	20	22	24	25
J2948	1	3	5	7	8	9	10	11	12	16	18	21	23	24	25
J2949	6	7	9	12	13	14	15	16	17	18	20	21	22	23	24
J2950	1	3	6	7	8	9	10	13	14	16	17	19	20	22	25
J2951	1	3	6	8	9	10	13	15	16	17	18	19	20	21	22
J2952	1	2	3	4	5	6	8	9	11	12	16	19	20	21	22
J2953	1	3	4	5	7	8	9	13	17	18	19	20	21	22	23
J2954	1	2	3	5	7	9	10	12	14	18	19	22	23	24	25
J2955	1	2	3	4	6	8	11	12	13	16	17	18	19	23	24
J2956	3	5	7	9	14	16	17	18	19	20	21	22	23	24	25
J2957	1	2	4	5	7	8	9	10	11	15	17	19	20	21	24
J2958	4	6	7	8	10	11	12	13	14	18	20	22	23	24	25
J2959	1	3	4	5	8	10	11	14	15	16	20	21	23	24	25
J2960	1	2	3	4	5	8	9	11	12	15	16	19	20	23	25
J2961	1	3	4	5	7	8	9	10	13	15	17	18	20	23	25
J2962	1	3	6	7	9	11	12	14	15	17	18	20	22	24	25
J2963	1	2	3	4	9	10	11	12	13	14	15	18	21	24	25
J2964	1	3	4	5	7	9	10	11	12	14	18	20	22	23	25
J2965	1	3	7	8	10	11	12	14	15	16	17	18	19	23	24
J2966	1	3	4	6	7	8	11	12	13	17	18	19	20	22	23
J2967	1	2	3	4	6	7	8	9	14	17	18	19	20	22	25
J2968	2	4	5	6	7	9	10	13	14	15	18	19	20	21	23
J2969	3	4	5	6	9	11	13	17	18	19	20	21	22	23	24
J2970	1	2	3	8	9	11	12	13	14	15	18	20	21	22	25
J2971	1	2	4	5	10	11	12	14	15	16	17	18	20	21	25
J2972	3	4	5	6	8	11	12	13	14	18	19	20	21	24	25
J2973	1	2	4	6	8	9	10	11	14	16	17	18	19	20	25
J2974	4	6	8	9	10	12	13	14	15	16	18	19	20	21	24
J2975	5	8	11	12	13	14	15	16	17	18	20	21	22	23	24
J2976	1	2	4	6	8	9	10	12	13	14	17	18	20	21	24
J2977	3	5	6	7	8	9	10	11	13	14	18	20	22	24	25
J2978	5	6	7	10	12	13	14	15	16	17	20	21	23	24	25
J2979	2	4	5	6	8	9	10	11	13	14	19	20	22	24	25
