Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Bola16;Bola17;Bola18;Bola19;Bola20;Rateio 20 acertos;Rateio 19 acertos;Rateio 18 acertos;Rateio 17 acertos;Rateio 16 acertos;Rateio 15 acertos;Rateio Nenhum Número
33;13/05/2000;6;11;12;13;14;23;28;33;34;39;49;52;56;60;71;76;82;86;90;93;R$1.778.696,06;R$62.198,75;R$2.947,81;R$135,36;R$21,67;-;R$0,00
34;20/05/2000;2;9;12;14;19;20;23;24;28;44;45;51;54;58;61;66;77;79;82;89;R$212.878,36;R$40.548,26;R$1.837,14;R$108,89;R$17,70;-;R$0,00
35;27/05/2000;4;8;11;12;14;22;23;28;36;42;47;48;49;53;54;60;67;85;88;99;R$0,00;R$25.830,80;R$1.498,47;R$81,00;R$13,46;-;R$0,00
36;03/06/2000;5;9;16;17;43;50;51;55;56;57;58;65;69;71;76;78;85;86;88;89;R$0,00;R$21.343,60;R$2.409,76;R$128,53;R$16,35;-;R$582.432,72
37;10/06/2000;1;3;6;9;17;20;21;35;38;43;44;50;52;55;73;74;82;97;98;99;R$892.612,72;R$26.881,58;R$2.009,84;R$120,55;R$19,12;-;R$322.578,94
38;17/06/2000;2;4;11;12;20;23;30;35;36;49;53;55;56;57;58;61;66;83;98;99;R$842.858,00;R$37.460,36;R$2.302,89;R$119,65;R$17,77;-;R$280.952,67
39;24/06/2000;0;2;5;9;11;17;18;24;26;30;33;38;44;52;57;70;72;78;81;84;R$252.787,51;R$14.869,85;R$1.373,85;R$79,81;R$14,28;-;R$252.787,54
40;01/07/2000;5;7;8;9;16;25;41;43;51;55;57;62;67;74;77;80;83;86;90;99;R$788.929,89;R$47.813,93;R$2.286,76;R$123,56;R$20,11;-;R$262.976,66
41;08/07/2000;4;9;11;22;26;29;33;37;41;47;50;52;58;64;65;71;77;82;86;98;R$850.388,26;R$25.769,34;R$1.540,56;R$96,27;R$16,38;-;R$141.731,38
42;15/07/2000;3;12;18;20;21;29;35;41;47;48;64;67;73;74;75;80;83;86;89;99;R$833.924,00;R$42.765,00;R$2.214,00;R$115,00;R$18,00;-;R$0,00
43;22/07/2000;6;8;17;18;19;30;31;32;39;53;54;58;75;77;84;86;90;93;94;96;R$0,00;R$41.744,20;R$2.811,79;R$133,33;R$21,35;-;R$549.311,98
44;29/07/2000;0;8;15;18;23;28;32;36;38;40;44;52;54;72;77;78;80;81;87;99;R$0,00;R$21.839,28;R$1.502,18;R$84,65;R$15,06;-;R$0,00
45;05/08/2000;0;1;3;14;18;24;30;33;37;41;42;57;67;68;69;70;74;80;86;90;R$2.616.196,83;R$42.242,37;R$2.475,14;R$132,12;R$18,32;-;R$0,00
46;12/08/2000;0;2;5;9;12;24;25;28;31;32;41;45;50;63;78;81;93;94;97;98;R$0,00;R$33.776,39;R$2.563,39;R$122,12;R$17,89;-;R$0,00
47;19/08/2000;7;10;11;18;21;31;34;39;42;50;70;75;78;80;82;89;92;95;96;97;R$0,00;R$59.434,47;R$3.032,37;R$141,70;R$19,75;-;R$0,00
48;26/08/2000;0;5;9;13;14;15;18;30;34;35;37;45;47;56;64;68;70;74;88;98;R$1.340.918,86;R$22.938,84;R$1.596,26;R$89,14;R$12,89;-;R$1.494.674,30
49;02/09/2000;21;29;31;37;40;44;45;50;55;61;62;79;80;81;83;85;86;88;95;97;R$819.254,00;R$60.685,48;R$2.588,48;R$134,06;R$19,92;-;R$273.084,68
50;09/09/2000;0;6;8;20;24;26;27;28;30;34;39;40;42;43;54;66;68;71;73;82;R$813.621,08;R$54.241,41;R$1.732,95;R$91,48;R$15,06;-;R$271.207,05
51;16/09/2000;1;3;4;10;16;21;40;41;46;47;51;53;57;60;63;75;82;83;89;98;R$0,00;R$43.690,81;R$2.176,17;R$108,07;R$19,41;-;R$283.990,26
52;23/09/2000;1;6;9;13;18;26;31;37;45;50;53;65;69;73;80;81;85;87;89;99;R$860.049,21;R$12.581,56;R$1.247,31;R$79,53;R$12,49;-;R$72.343,98
53;30/09/2000;6;8;10;12;18;21;28;32;34;39;41;42;49;50;56;59;62;82;86;95;R$396.383,94;R$10.570,24;R$805,66;R$55,68;R$10,71;-;R$0,00
54;07/10/2000;6;15;17;18;22;23;38;40;43;45;53;56;74;86;87;88;91;94;97;98;R$0,00;R$24.927,75;R$2.548,17;R$124,00;R$19,76;-;R$275.462,53
55;14/10/2000;3;4;5;26;32;37;40;44;49;50;54;63;64;67;73;74;89;96;97;99;R$0,00;R$35.737,89;R$3.041,53;R$149,79;R$22,70;-;R$285.903,08
56;18/10/2000;8;12;16;17;24;28;30;31;35;36;47;56;60;63;74;80;82;88;91;92;R$0,00;R$25.048,10;R$1.960,28;R$102,26;R$14,92;-;R$0,00
57;21/10/2000;2;5;9;25;28;41;44;50;58;64;67;73;78;79;83;85;93;95;97;98;R$977.754,39;R$9.589,05;R$1.046,39;R$67,68;R$13,06;-;R$0,00
58;25/10/2000;8;11;13;16;19;22;23;25;48;51;56;61;66;74;78;80;85;90;92;95;R$0,00;R$39.253,93;R$1.979,19;R$117,30;R$19,12;-;R$0,00
59;28/10/2000;7;14;16;20;27;30;35;45;52;53;56;63;76;81;83;89;91;92;94;96;R$1.095.137,47;R$26.029,90;R$1.621,53;R$75,92;R$8,48;-;R$256.742,71
60;01/11/2000;2;4;12;14;17;22;26;40;41;42;43;45;47;60;67;68;76;87;88;93;R$0,00;R$40.873,58;R$2.502,46;R$118,70;R$18,38;-;R$0,00
61;04/11/2000;0;6;14;26;27;30;34;35;40;51;53;55;60;61;64;68;70;74;84;88;R$1.042.542,25;R$16.063,81;R$1.405,58;R$84,52;R$13,89;-;R$347.514,12
62;08/11/2000;9;14;19;20;23;24;25;27;31;32;33;36;41;43;44;49;61;62;66;81;R$387.126,87;R$13.583,40;R$726,87;R$55,42;R$4,54;-;R$0,00
63;11/11/2000;1;3;18;24;33;36;41;47;48;52;54;57;65;69;74;78;82;91;92;99;R$0,00;R$21.671,07;R$1.388,40;R$84,17;R$14,29;-;R$189.129,81
64;18/11/2000;3;5;6;9;11;16;21;29;37;38;47;51;54;66;68;69;84;85;93;98;R$0,00;R$38.675,03;R$2.292,99;R$118,72;R$19,44;-;R$0,00
65;22/11/2000;1;7;8;11;14;18;21;23;27;31;39;45;58;69;72;79;83;86;92;98;R$0,00;R$31.151,36;R$1.971,60;R$98,35;R$16,77;-;R$445.819,55
66;25/11/2000;4;14;16;17;23;26;33;36;38;44;54;57;62;66;76;78;88;92;94;99;R$1.437.985,47;R$7.753,53;R$624,31;R$43,39;R$13,30;-;R$52.724,05
67;29/11/2000;3;7;9;14;18;25;26;36;46;49;50;62;64;75;76;85;89;91;94;98;R$360.509,79;R$26.704,43;R$1.692,53;R$101,80;R$16,98;-;R$120.169,95
68;02/12/2000;3;5;6;8;22;23;24;25;28;32;45;46;53;54;57;71;78;82;88;94;R$0,00;R$23.085,37;R$1.533,91;R$79,29;R$12,86;-;R$0,00
69;06/12/2000;0;1;14;15;24;29;30;34;45;55;58;69;72;73;76;83;86;94;95;98;R$0,00;R$24.028,34;R$2.296,83;R$114,93;R$18,67;-;R$0,00
70;09/12/2000;0;12;13;17;30;33;38;39;41;44;46;47;66;80;81;83;89;90;91;94;R$0,00;R$33.611,49;R$2.118,37;R$114,30;R$17,75;-;R$0,00
71;13/12/2000;11;24;27;30;36;39;44;46;50;53;55;59;61;63;66;69;73;81;90;94;R$0,00;R$7.988,94;R$693,99;R$51,99;R$11,28;-;R$814.880,89
72;16/12/2000;0;8;9;11;16;20;25;31;35;39;45;47;52;64;68;70;74;87;90;93;R$3.262.164,27;R$32.059,68;R$1.967,56;R$108,08;R$18,08;-;R$272.507,30
73;20/12/2000;11;14;18;30;39;41;50;59;69;71;73;74;81;83;91;92;93;94;98;99;R$214.624,22;R$9.231,15;R$657,40;R$48,04;R$14,08;-;R$0,00
74;23/12/2000;11;13;17;24;28;40;41;42;43;46;48;49;53;57;61;71;87;92;96;99;R$675.676,08;R$26.497,10;R$2.075,81;R$113,87;R$17,69;-;R$368.308,22
75;27/12/2000;1;11;15;26;27;37;38;39;48;57;59;64;73;76;78;85;87;94;95;98;R$0,00;R$32.950,84;R$1.548,03;R$93,10;R$15,36;-;R$0,00
