Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Bola16;Bola17;Bola18;Bola19;Bola20;Rateio 20 acertos;Rateio 19 acertos;Rateio 18 acertos;Rateio 17 acertos;Rateio 16 acertos;Rateio 15 acertos;Rateio Nenhum Número
451;11/09/2004;1;11;16;17;19;25;28;29;31;35;37;41;53;58;63;74;78;79;91;94;R$0,00;R$41.397,77;R$2.130,77;R$107,17;R$17,30;-;R$0,00
452;15/09/2004;0;11;17;23;29;34;52;56;57;60;67;68;70;78;83;91;92;93;95;98;R$1.114.741,57;R$35.929,94;R$2.356,06;R$129,57;R$19,60;-;R$143.719,78
453;18/09/2004;0;5;6;11;16;20;24;31;36;43;47;52;54;56;59;68;72;74;96;99;R$0,00;R$15.299,85;R$1.226,87;R$70,42;R$11,88;-;R$0,00
454;22/09/2004;5;8;11;12;14;21;30;34;42;47;49;62;68;73;80;82;84;89;90;96;R$0,00;R$19.676,33;R$1.814,13;R$97,79;R$16,29;-;R$0,00
455;25/09/2004;24;26;38;42;48;49;51;52;54;60;62;63;66;74;82;85;86;87;92;99;R$0,00;R$11.744,53;R$1.159,95;R$78,31;R$13,42;-;R$140.934,46
456;29/09/2004;3;6;8;9;10;17;40;43;44;49;60;63;70;75;76;80;91;95;97;99;R$617.245,19;R$33.096,07;R$1.141,24;R$62,13;R$12,32;-;R$44.128,10
457;02/10/2004;1;3;5;6;13;14;18;19;21;22;28;30;32;43;52;61;66;67;81;94;R$0,00;R$31.915,14;R$1.510,78;R$71,37;R$12,38;-;R$0,00
458;06/10/2004;1;4;7;8;12;14;17;21;22;27;44;46;62;71;72;83;84;87;93;97;R$0,00;R$27.665,89;R$1.177,27;R$74,90;R$13,76;-;R$138.329,46
459;09/10/2004;2;18;20;22;36;39;41;42;53;59;60;62;64;69;72;74;86;89;92;98;R$1.401.356,39;R$15.102,41;R$1.120,68;R$77,94;R$13,36;-;R$0,00
460;13/10/2004;8;10;16;21;27;34;36;39;47;48;62;63;66;67;76;77;87;92;96;99;R$0,00;R$30.686,28;R$2.105,92;R$92,80;R$15,73;-;R$107.401,99
461;16/10/2004;0;1;4;6;7;9;11;13;16;25;30;32;41;43;44;56;61;81;87;96;R$0,00;R$13.626,79;R$1.030,21;R$58,15;R$10,70;-;R$49.964,92
462;20/10/2004;3;6;8;19;26;30;34;41;43;44;47;58;66;69;80;82;89;91;95;99;R$1.364.234,97;R$13.144,53;R$1.007,60;R$66,47;R$12,28;-;R$0,00
463;23/10/2004;1;7;12;15;22;29;39;41;48;54;55;65;68;72;76;79;80;84;90;91;R$0,00;R$27.115,95;R$1.832,16;R$117,05;R$19,56;-;R$0,00
464;27/10/2004;6;8;15;21;26;39;40;41;53;54;57;59;63;65;70;73;76;81;88;92;R$0,00;R$15.392,32;R$1.677,37;R$101,12;R$17,53;-;R$0,00
465;30/10/2004;0;8;26;39;40;43;47;49;55;59;62;65;71;77;80;94;95;96;98;99;R$829.156,81;R$22.977,75;R$1.939,68;R$99,93;R$16,07;-;R$0,00
466;03/11/2004;1;5;6;11;27;29;33;34;35;37;38;39;41;46;53;62;65;87;91;99;R$0,00;R$51.524,95;R$1.873,64;R$104,55;R$16,02;-;R$0,00
467;06/11/2004;5;9;10;11;14;31;44;46;49;57;58;62;65;72;78;86;87;90;92;99;R$1.010.763,98;R$59.894,54;R$2.376,77;R$116,72;R$18,24;-;R$0,00
468;10/11/2004;2;8;15;17;21;32;42;43;49;59;67;71;72;73;80;84;86;88;91;97;R$531.169,99;R$63.572,28;R$1.829,42;R$99,27;R$16,98;-;R$0,00
469;13/11/2004;2;3;6;7;10;11;23;25;32;38;39;45;53;61;63;68;77;83;84;85;R$0,00;R$45.713,18;R$1.585,43;R$91,21;R$15,26;-;R$0,00
470;17/11/2004;6;9;10;11;13;17;18;23;28;38;39;42;43;45;46;51;58;68;92;97;R$0,00;R$15.119,75;R$1.228,00;R$66,62;R$10,36;-;R$0,00
471;20/11/2004;0;5;7;11;12;15;18;20;21;23;28;31;32;35;44;66;69;86;90;95;R$1.629.657,57;R$28.492,30;R$1.392,96;R$77,95;R$13,45;-;R$156.707,68
472;24/11/2004;1;4;12;21;22;24;25;35;40;45;48;60;67;68;78;86;92;96;97;98;R$0,00;R$23.648,24;R$2.657,11;R$73,17;R$19,19;-;R$0,00
473;27/11/2004;9;11;13;14;17;27;28;31;33;46;62;68;69;71;73;79;86;92;94;97;R$0,00;R$19.877,87;R$1.087,07;R$65,60;R$9,28;-;R$139.145,12
474;01/12/2004;4;5;16;18;21;24;25;39;41;44;45;48;55;57;83;85;88;92;93;98;R$0,00;R$18.717,44;R$1.132,11;R$65,60;R$11,56;-;R$0,00
475;04/12/2004;6;9;12;16;18;20;26;29;40;42;59;63;74;75;76;82;88;89;90;97;R$0,00;R$24.360,63;R$2.304,38;R$118,05;R$18,63;-;R$0,00
476;08/12/2004;6;8;19;20;27;32;35;38;41;45;48;52;59;61;69;72;73;76;82;98;R$0,00;R$53.198,57;R$1.753,80;R$102,19;R$16,16;-;R$79.797,86
477;11/12/2004;3;5;14;20;21;25;32;43;44;46;55;56;67;68;71;72;87;95;96;97;R$3.175.385,74;R$20.836,20;R$1.744,43;R$89,01;R$14,53;-;R$187.525,90
478;15/12/2004;9;19;20;21;23;25;30;45;46;48;51;62;63;64;67;71;74;84;88;89;R$0,00;R$51.688,38;R$2.509,15;R$131,22;R$18,81;-;R$0,00
479;18/12/2004;3;6;7;14;15;20;28;36;43;47;48;50;60;63;65;72;78;80;91;96;R$0,00;R$37.505,75;R$1.818,46;R$99,18;R$16,30;-;R$0,00
480;22/12/2004;3;4;8;16;22;23;26;28;31;32;33;34;36;40;43;51;55;61;79;82;R$789.668,78;R$14.010,97;R$1.129,09;R$64,87;R$12,08;-;R$0,00
481;29/12/2004;2;12;19;20;21;22;33;39;42;45;54;56;57;74;79;83;88;92;95;99;R$0,00;R$15.411,48;R$1.251,11;R$77,02;R$13,38;-;R$0,00
482;05/01/2005;3;4;5;8;14;17;23;26;47;57;59;62;70;71;72;75;86;87;96;97;R$0,00;R$33.896,61;R$1.645,47;R$92,57;R$15,82;-;R$84.741,54
483;08/01/2005;1;4;16;17;19;22;31;43;45;50;51;57;61;62;65;66;84;91;92;97;R$916.865,63;R$65.740,84;R$1.694,35;R$104,98;R$16,72;-;R$0,00
484;12/01/2005;2;15;17;27;41;42;44;49;50;56;58;64;65;71;81;85;89;90;97;99;R$0,00;R$37.313,25;R$2.271,24;R$111,40;R$18,10;-;R$65.298,19
485;15/01/2005;1;7;8;14;15;16;23;24;26;28;32;40;43;48;53;64;68;74;94;99;R$990.907,90;R$32.204,95;R$1.373,67;R$79,06;R$12,91;-;R$0,00
486;19/01/2005;3;4;9;14;25;28;35;38;46;52;56;58;61;63;64;71;81;91;95;97;R$0,00;R$27.779,64;R$2.155,32;R$121,26;R$18,14;-;R$0,00
487;22/01/2005;0;4;17;20;26;28;31;34;36;39;43;47;48;50;54;57;70;82;92;94;R$1.071.682,00;R$18.965,61;R$1.008,81;R$64,09;R$11,44;-;R$71.121,03
488;26/01/2005;1;10;19;25;28;31;35;48;51;52;53;60;63;69;77;81;92;94;97;98;R$0,00;R$17.817,28;R$2.031,80;R$104,42;R$16,25;-;R$0,00
489;29/01/2005;6;7;14;23;24;27;28;40;45;47;50;53;62;64;67;77;79;86;90;92;R$0,00;R$21.199,92;R$1.913,88;R$101,77;R$16,18;-;R$0,00
490;02/02/2005;1;2;9;12;13;16;21;31;32;43;44;48;54;62;65;67;80;82;89;94;R$0,00;R$23.400,78;R$1.897,36;R$109,11;R$17,00;-;R$0,00
491;05/02/2005;10;11;17;19;21;23;25;27;33;48;51;53;55;58;59;61;79;81;83;92;R$0,00;R$18.100,32;R$827,17;R$50,94;R$9,99;-;R$153.852,75
492;12/02/2005;7;8;16;22;23;35;36;39;40;52;58;63;73;77;79;83;86;87;95;96;R$0,00;R$19.760,92;R$1.812,93;R$114,13;R$17,84;-;R$0,00
493;16/02/2005;0;10;11;12;26;30;41;45;50;54;55;62;67;71;73;75;77;78;88;98;R$0,00;R$25.970,68;R$1.500,53;R$83,67;R$13,46;-;R$168.809,41
494;19/02/2005;13;19;25;27;35;41;47;50;51;54;57;61;62;63;73;74;76;79;86;91;R$3.906.566,92;R$25.425,68;R$2.017,92;R$96,29;R$15,91;-;R$0,00
495;23/02/2005;3;18;20;27;42;44;54;67;68;70;74;78;79;84;89;92;93;95;98;99;R$0,00;R$25.638,04;R$1.913,29;R$98,85;R$16,72;-;R$128.190,26
496;26/02/2005;1;8;18;25;27;33;36;37;42;47;49;57;62;64;66;68;85;88;97;99;R$0,00;R$10.684,15;R$814,90;R$51,53;R$10,26;-;R$0,00
497;02/03/2005;2;5;15;20;27;31;32;51;53;55;56;59;70;74;82;90;91;93;94;99;R$0,00;R$27.124,72;R$1.554,02;R$87,79;R$15,33;-;R$149.186,00
498;05/03/2005;0;6;10;15;16;21;22;26;33;34;35;54;59;61;66;72;74;81;88;92;R$0,00;R$28.838,79;R$1.640,12;R$95,77;R$15,19;-;R$0,00
499;09/03/2005;1;3;14;30;33;39;47;51;53;61;63;66;69;70;71;72;73;84;90;93;R$0,00;R$33.920,63;R$1.905,66;R$98,64;R$15,62;-;R$169.603,14
500;12/03/2005;1;9;12;13;16;27;28;33;43;45;47;54;56;59;63;68;80;81;88;99;R$0,00;R$10.136,90;R$1.013,69;R$68,62;R$11,72;-;R$0,00
501;16/03/2005;12;15;16;18;20;28;34;41;42;44;50;55;67;68;69;74;77;80;84;97;R$0,00;R$53.087,26;R$2.185,94;R$105,23;R$16,67;-;R$0,00
502;19/03/2005;4;5;12;22;23;26;28;29;31;33;49;51;52;54;58;62;63;82;86;91;R$0,00;R$23.276,59;R$1.519,78;R$80,11;R$13,14;-;R$0,00
503;23/03/2005;3;5;6;29;38;47;52;54;58;62;64;70;71;72;79;82;83;88;89;91;R$5.872.574,72;R$21.644,85;R$1.959,62;R$101,85;R$16,49;-;R$238.093,39
504;26/03/2005;0;7;13;16;19;23;27;34;36;37;38;40;49;58;60;64;66;70;81;97;R$0,00;R$35.880,16;R$1.582,95;R$87,04;R$14,35;-;R$107.640,53
505;30/03/2005;4;7;10;11;17;20;25;27;29;30;32;37;58;59;60;62;84;95;97;98;R$0,00;R$22.723,77;R$2.034,97;R$107,88;R$17,58;-;R$0,00
506;02/04/2005;1;7;10;14;18;23;26;27;29;32;48;57;62;67;71;72;77;85;86;91;R$0,00;R$26.260,83;R$1.507,80;R$87,80;R$14,90;-;R$0,00
507;06/04/2005;8;13;15;20;26;27;37;41;42;47;50;52;61;63;73;74;76;80;84;96;R$0,00;R$46.635,02;R$2.161,89;R$98,02;R$16,14;-;R$0,00
508;09/04/2005;11;18;21;25;26;28;29;36;45;52;53;59;65;68;74;78;79;90;91;98;R$2.696.550,58;R$60.567,62;R$2.774,09;R$138,08;R$20,17;-;R$0,00
509;13/04/2005;2;4;5;6;7;8;16;20;26;38;42;44;49;56;63;71;75;78;86;94;R$0,00;R$22.041,73;R$1.259,53;R$88,43;R$14,61;-;R$0,00
510;16/04/2005;4;6;7;8;17;29;30;34;38;41;44;47;48;52;58;61;75;81;82;87;R$1.165.350,50;R$43.299,63;R$2.212,39;R$117,22;R$17,60;-;R$0,00
511;20/04/2005;3;6;11;13;25;26;33;38;39;42;45;50;55;57;72;74;79;87;94;99;R$0,00;R$36.627,71;R$1.176,12;R$74,56;R$13,40;-;R$0,00
512;23/04/2005;5;6;8;12;14;18;24;26;31;36;50;56;62;67;81;83;85;87;90;93;R$0,00;R$24.635,27;R$1.652,37;R$104,96;R$16,96;-;R$0,00
513;27/04/2005;0;1;2;16;19;28;33;38;42;44;45;48;56;58;64;70;72;83;87;93;R$818.340,77;R$20.493,76;R$1.576,45;R$89,60;R$15,28;-;R$143.456,38
514;30/04/2005;1;4;8;10;11;15;19;25;30;33;47;48;52;65;68;73;78;84;95;96;R$0,00;R$33.515,34;R$1.403,78;R$74,41;R$13,21;-;R$0,00
515;04/05/2005;11;23;30;39;42;43;44;54;58;65;66;67;80;89;92;93;95;97;98;99;R$0,00;R$31.653,95;R$2.793,00;R$117,48;R$19,25;-;R$0,00
516;07/05/2005;7;8;12;13;21;26;32;33;35;44;46;49;52;55;58;86;91;94;95;99;R$0,00;R$13.089,10;R$1.113,02;R$70,72;R$9,97;-;R$0,00
517;11/05/2005;6;7;8;9;28;34;38;39;40;45;46;54;57;65;67;71;76;81;92;93;R$0,00;R$45.887,99;R$2.397,13;R$127,09;R$20,37;-;R$0,00
518;14/05/2005;4;10;12;16;20;21;31;33;37;49;61;64;68;69;73;80;83;91;94;99;R$976.819,11;R$23.446,84;R$1.265,12;R$83,59;R$15,17;-;R$87.925,66
519;18/05/2005;3;4;6;9;18;27;34;40;45;46;48;49;51;65;69;73;82;86;91;98;R$0,00;R$63.270,66;R$1.676,04;R$92,97;R$15,24;-;R$0,00
520;21/05/2005;11;14;15;18;19;22;25;34;44;45;50;52;56;63;65;83;85;90;92;93;R$0,00;R$18.507,57;R$1.352,15;R$79,26;R$12,76;-;R$148.060,56
521;25/05/2005;0;6;7;10;11;12;16;18;34;35;40;42;45;46;47;57;66;76;85;92;R$0,00;R$21.930,51;R$1.411,37;R$90,51;R$14,54;-;R$142.548,38
522;28/05/2005;3;5;6;8;9;13;16;17;24;26;28;41;43;47;49;55;89;92;95;96;R$1.808.472,71;R$7.756,41;R$674,29;R$47,24;R$8,94;-;R$143.493,61
523;01/06/2005;10;11;13;17;18;19;21;38;43;49;51;58;61;63;70;75;76;78;88;94;R$390.879,73;R$26.058,65;R$2.368,97;R$116,00;R$17,99;-;R$0,00
524;04/06/2005;2;4;16;19;30;33;40;44;47;50;56;61;65;73;76;81;82;89;93;97;R$565.068,59;R$26.350,02;R$1.834,49;R$100,54;R$16,77;-;R$0,00
525;08/06/2005;9;23;27;34;36;37;38;39;41;45;49;56;59;73;76;79;87;90;91;94;R$0,00;R$21.155,89;R$1.785,89;R$84,57;R$14,66;-;R$0,00
526;11/06/2005;0;8;27;31;33;36;49;57;58;64;67;68;70;73;76;84;88;93;95;97;R$577.119,20;R$13.916,98;R$1.109,32;R$69,32;R$12,96;-;R$0,00
527;15/06/2005;16;18;33;36;38;42;44;47;48;64;65;67;72;73;74;75;76;81;84;87;R$267.662,58;R$2.337,85;R$299,72;R$24,11;R$10,11;-;R$63.706,42
528;18/06/2005;3;8;9;17;23;27;32;34;41;45;48;52;53;55;57;78;83;89;95;99;R$0,00;R$15.091,05;R$1.036,79;R$58,76;R$11,43;-;R$0,00
529;22/06/2005;11;13;14;18;19;21;24;30;31;40;41;45;53;56;64;72;78;84;91;92;R$0,00;R$23.681,65;R$2.305,29;R$106,54;R$17,98;-;R$0,00
530;25/06/2005;1;8;11;12;13;18;31;33;34;35;40;51;54;57;62;71;72;87;89;96;R$1.477.405,51;R$30.602,32;R$2.415,97;R$107,44;R$16,42;-;R$137.710,49
531;29/06/2005;2;5;13;14;15;16;24;25;32;37;49;50;56;62;68;74;87;88;95;97;R$350.918,12;R$25.993,94;R$1.745,86;R$93,01;R$15,17;-;R$0,00
532;02/07/2005;3;5;7;14;15;16;27;28;31;40;52;59;69;71;72;81;86;89;92;96;R$0,00;R$45.745,62;R$2.744,74;R$113,84;R$18,53;-;R$0,00
533;06/07/2005;5;6;8;18;20;21;23;25;28;30;31;35;37;40;49;63;64;67;95;99;R$0,00;R$49.406,42;R$1.543,95;R$79,18;R$13,50;-;R$0,00
534;09/07/2005;12;23;36;38;48;51;53;60;61;63;71;72;75;76;82;87;91;95;96;98;R$1.720.102,75;R$21.966,93;R$1.798,47;R$101,79;R$16,38;-;R$0,00
535;13/07/2005;1;4;6;13;17;22;23;27;28;31;49;51;54;56;62;65;80;90;93;98;R$0,00;R$33.578,30;R$1.580,16;R$95,99;R$16,49;-;R$0,00
536;16/07/2005;1;6;17;19;40;45;60;62;64;70;72;76;82;87;89;90;92;93;95;97;R$1.131.760,84;R$32.647,37;R$1.748,97;R$92,34;R$15,74;-;R$73.456,60
537;20/07/2005;5;17;21;24;29;31;36;38;51;53;60;61;66;72;74;76;84;88;93;98;R$0,00;R$19.508,54;R$1.385,85;R$85,77;R$15,20;-;R$0,00
538;23/07/2005;3;4;9;16;17;18;22;28;30;35;37;41;47;48;70;76;80;81;82;94;R$0,00;R$40.865,54;R$2.000,42;R$123,26;R$18,92;-;R$0,00
539;27/07/2005;6;20;25;26;30;31;37;38;39;42;45;51;61;67;70;72;75;79;86;95;R$750.314,86;R$56.172,01;R$2.095,97;R$111,48;R$18,14;-;R$140.430,04
540;30/07/2005;8;11;13;17;26;30;35;38;44;54;61;63;74;77;80;81;85;86;88;90;R$0,00;R$17.266,75;R$1.074,69;R$70,92;R$13,59;-;R$129.500,62
541;03/08/2005;5;9;13;15;21;25;29;47;52;57;72;73;75;79;83;87;89;90;91;92;R$0,00;R$18.850,14;R$1.312,95;R$69,89;R$8,21;-;R$0,00
542;06/08/2005;1;6;16;21;22;39;45;47;50;51;54;56;68;77;81;86;87;91;93;99;R$0,00;R$77.821,01;R$2.034,54;R$99,21;R$16,30;-;R$0,00
543;10/08/2005;1;2;4;8;25;37;41;50;51;52;58;59;67;71;73;81;86;92;95;96;R$0,00;R$31.306,92;R$2.389,84;R$115,60;R$18,10;-;R$156.534,63
544;13/08/2005;6;12;13;16;19;22;23;30;36;41;43;49;58;61;64;68;70;71;80;92;R$0,00;R$23.925,22;R$2.310,03;R$116,43;R$18,37;-;R$167.476,54
545;17/08/2005;1;5;13;15;34;38;39;40;42;45;49;50;59;61;71;75;77;85;90;91;R$2.977.880,43;R$17.295,31;R$1.831,27;R$91,92;R$15,47;-;R$155.657,76
546;20/08/2005;0;7;12;18;24;34;35;37;44;45;46;47;57;58;68;83;84;85;89;94;R$196.446,68;R$20.148,38;R$1.378,58;R$76,75;R$12,40;-;R$0,00
547;24/08/2005;0;7;15;17;25;26;27;32;35;37;38;40;45;48;86;90;91;92;96;97;R$490.143,88;R$15.963,53;R$1.686,29;R$98,01;R$16,74;-;R$0,00
548;27/08/2005;7;14;18;20;23;24;25;26;30;32;36;40;41;49;50;59;79;82;91;93;R$0,00;R$62.737,45;R$2.144,87;R$108,79;R$15,88;-;R$0,00
549;31/08/2005;11;14;20;30;31;40;44;46;49;50;52;54;58;63;73;74;80;87;92;93;R$0,00;R$43.499,95;R$2.211,86;R$121,39;R$18,53;-;R$0,00
550;03/09/2005;7;8;22;26;28;44;49;55;59;60;61;69;79;81;88;89;93;95;97;99;R$0,00;R$20.651,26;R$1.329,48;R$88,13;R$13,93;-;R$0,00
551;10/09/2005;10;11;17;19;38;39;42;44;47;48;51;52;54;55;57;61;79;84;87;94;R$2.378.071,14;R$29.281,34;R$1.558,70;R$94,28;R$15,13;-;R$204.969,38
552;14/09/2005;3;15;22;25;35;41;47;48;53;54;58;62;68;71;72;73;78;92;94;98;R$0,00;R$14.459,62;R$1.097,38;R$66,26;R$12,26;-;R$0,00
553;19/09/2005;2;5;10;12;14;29;45;53;56;62;63;69;70;71;83;90;92;93;94;97;R$916.641,91;R$35.417,89;R$2.421,74;R$131,29;R$19,54;-;R$0,00
554;21/09/2005;0;2;4;11;18;20;34;37;50;55;57;68;73;77;79;84;86;92;93;94;R$0,00;R$17.351,00;R$1.214,57;R$75,63;R$13,25;-;R$0,00
555;24/09/2005;1;4;5;11;16;21;25;28;40;41;49;61;64;65;73;82;84;86;87;94;R$1.063.865,40;R$24.242,56;R$1.852,93;R$95,52;R$15,28;-;R$145.455,35
556;28/09/2005;1;8;17;19;24;25;29;31;49;50;51;59;61;64;70;75;84;86;87;90;R$0,00;R$27.516,22;R$1.684,67;R$90,11;R$14,94;-;R$0,00
557;01/10/2005;5;9;12;16;18;21;22;23;24;27;28;35;43;47;70;75;81;85;91;95;R$0,00;R$37.588,39;R$1.242,60;R$77,49;R$13,11;-;R$0,00
558;05/10/2005;2;5;19;34;39;44;45;48;49;50;52;57;60;61;63;64;83;87;89;97;R$0,00;R$38.454,08;R$1.898,96;R$96,62;R$15,74;-;R$0,00
559;08/10/2005;8;10;11;12;20;23;29;32;33;34;36;43;54;62;67;73;82;90;91;97;R$2.244.151,07;R$35.478,64;R$1.612,66;R$87,06;R$14,05;-;R$177.393,21
560;15/10/2005;5;12;15;23;25;37;38;41;42;50;52;61;63;71;74;81;85;88;90;94;R$516.671,97;R$20.261,64;R$2.002,61;R$94,28;R$14,82;-;R$0,00
561;19/10/2005;2;13;15;16;17;21;34;37;41;44;47;48;49;54;56;65;79;80;81;94;R$0,00;R$31.356,49;R$1.872,03;R$107,26;R$15,40;-;R$125.425,97
562;22/10/2005;0;11;17;19;22;24;26;33;45;46;51;54;55;58;64;65;68;74;89;92;R$0,00;R$26.327,17;R$1.448,00;R$65,22;R$11,29;-;R$0,00
563;26/10/2005;3;4;6;7;13;16;21;27;28;30;33;35;40;41;45;59;60;66;71;85;R$0,00;R$18.405,53;R$1.366,75;R$63,61;R$11,91;-;R$0,00
564;29/10/2005;7;11;13;14;17;21;26;29;33;39;42;44;52;58;62;63;75;85;96;97;R$0,00;R$25.754,68;R$2.102,43;R$94,56;R$15,06;-;R$0,00
565;05/11/2005;8;17;19;25;26;32;41;44;45;51;55;56;57;59;76;79;80;83;86;97;R$0,00;R$46.593,88;R$1.987,42;R$107,61;R$16,44;-;R$0,00
566;09/11/2005;13;19;21;24;25;32;34;35;36;39;40;46;47;61;66;79;81;84;97;98;R$3.675.761,08;R$59.899,29;R$2.412,05;R$113,67;R$18,80;-;R$0,00
567;12/11/2005;4;7;8;13;18;28;30;31;32;35;43;54;55;59;66;76;77;83;86;89;R$0,00;R$28.437,95;R$1.766,34;R$95,65;R$15,07;-;R$0,00
568;16/11/2005;2;11;20;21;25;30;33;36;47;50;61;76;77;78;81;82;85;93;94;95;R$0,00;R$39.601,46;R$2.102,73;R$132,10;R$19,45;-;R$0,00
569;19/11/2005;6;12;13;15;30;32;34;35;38;47;51;61;62;64;70;74;78;81;85;87;R$0,00;R$38.715,93;R$2.121,42;R$105,60;R$15,83;-;R$0,00
570;23/11/2005;0;5;8;9;15;22;23;24;25;26;35;37;57;59;66;68;69;77;84;96;R$0,00;R$18.877,44;R$1.372,91;R$77,12;R$12,91;-;R$151.019,50
571;26/11/2005;0;3;4;6;8;9;17;21;23;31;41;42;51;53;56;65;69;74;75;85;R$0,00;R$48.320,72;R$2.154,43;R$107,52;R$17,57;-;R$0,00
572;30/11/2005;6;13;16;32;43;47;51;52;58;60;67;72;73;79;81;83;87;90;91;95;R$0,00;R$14.774,41;R$1.203,84;R$73,14;R$13,65;-;R$54.172,84
573;03/12/2005;15;21;36;37;42;43;45;47;52;53;55;60;61;62;68;70;88;89;94;98;R$0,00;R$26.943,40;R$2.257,83;R$139,12;R$20,06;-;R$0,00
574;07/12/2005;3;4;6;9;14;16;25;30;31;32;45;48;56;64;71;73;76;85;94;96;R$4.883.162,30;R$19.511,98;R$1.226,80;R$69,76;R$12,26;-;R$204.875,79
575;10/12/2005;0;7;10;13;17;19;37;41;53;54;59;61;64;70;77;80;82;84;93;98;R$436.919,38;R$13.870,46;R$1.250,13;R$78,23;R$13,69;-;R$145.639,83
576;14/12/2005;9;15;19;20;28;30;32;37;44;45;52;54;56;60;68;69;74;84;95;99;R$0,00;R$45.086,03;R$2.003,82;R$110,10;R$17,41;-;R$135.258,11
577;17/12/2005;1;10;22;23;24;29;32;34;48;52;55;59;67;70;85;86;87;89;94;96;R$0,00;R$30.439,96;R$2.143,66;R$108,85;R$17,14;-;R$0,00
578;21/12/2005;8;9;20;34;39;44;48;50;51;53;57;60;64;67;77;84;87;92;94;97;R$1.485.820,99;R$20.944,34;R$1.680,03;R$89,17;R$15,71;-;R$78.541,28
579;24/12/2005;1;2;3;6;12;21;31;35;46;47;48;50;51;52;59;64;69;71;89;90;R$0,00;R$31.471,77;R$2.039,84;R$104,52;R$17,62;-;R$0,00
580;28/12/2005;3;7;8;12;16;20;21;27;33;34;37;51;56;59;71;78;80;85;88;95;R$0,00;R$21.300,13;R$2.006,53;R$103,32;R$16,42;-;R$0,00
581;31/12/2005;2;6;12;27;28;29;37;38;46;52;55;57;62;64;65;71;78;83;84;91;R$0,00;R$36.507,99;R$1.921,48;R$104,26;R$15,49;-;R$0,00
582;04/01/2006;0;3;6;16;18;19;20;22;25;27;32;40;47;56;70;78;85;93;94;97;R$1.978.562,18;R$26.280,13;R$1.642,51;R$96,14;R$15,83;-;R$0,00
583;07/01/2006;1;9;16;27;28;38;39;45;46;54;56;58;69;71;76;83;87;91;98;99;R$0,00;R$23.797,41;R$1.560,49;R$92,61;R$15,05;-;R$0,00
584;11/01/2006;1;11;18;31;37;40;42;44;45;47;59;61;71;76;78;83;90;91;92;94;R$0,00;R$71.765,71;R$2.050,45;R$100,98;R$16,49;-;R$0,00
585;14/01/2006;15;19;26;28;34;37;40;44;47;51;54;60;62;66;74;79;91;92;94;98;R$0,00;R$28.935,69;R$1.309,84;R$79,55;R$14,46;-;R$159.146,31
586;18/01/2006;5;6;14;21;27;36;39;45;48;50;56;62;64;72;76;80;81;89;92;97;R$2.247.996,51;R$14.170,10;R$1.199,01;R$73,67;R$13,29;-;R$155.871,10
587;21/01/2006;10;11;15;25;28;37;44;47;48;51;52;53;60;74;78;86;89;91;93;94;R$0,00;R$23.962,22;R$1.261,17;R$77,60;R$12,55;-;R$0,00
588;25/01/2006;2;10;25;28;35;50;53;54;59;61;71;73;75;82;84;88;89;91;95;98;R$0,00;R$17.156,04;R$1.249,22;R$74,88;R$12,77;-;R$0,00
589;28/01/2006;11;13;15;23;25;26;28;41;43;47;50;52;58;63;68;73;76;83;88;96;R$737.347,10;R$10.687,51;R$946,11;R$57,43;R$10,65;-;R$144.281,47
590;01/02/2006;0;13;14;16;17;18;27;28;39;44;47;65;67;70;71;80;84;86;92;97;R$0,00;R$62.207,64;R$2.145,09;R$121,16;R$18,36;-;R$0,00
591;04/02/2006;0;6;14;17;29;34;42;43;51;54;58;61;64;68;81;82;84;89;94;99;R$0,00;R$41.869,87;R$2.049,58;R$102,03;R$17,50;-;R$48.848,20
592;08/02/2006;1;5;7;11;15;18;24;27;28;29;32;38;44;57;62;64;70;73;91;99;R$0,00;R$16.235,76;R$1.197,72;R$72,94;R$12,33;-;R$0,00
593;11/02/2006;18;34;36;44;51;52;54;62;72;74;76;77;80;81;86;88;90;94;95;98;R$0,00;R$14.053,48;R$878,34;R$56,90;R$5,32;-;R$0,00
594;15/02/2006;5;7;10;20;25;29;38;45;52;54;58;67;70;71;72;76;86;87;89;98;R$2.725.911,28;R$13.075,60;R$988,91;R$53,91;R$9,38;-;R$176.520,61
595;18/02/2006;0;5;6;8;18;24;28;43;45;47;48;49;51;64;66;76;77;82;87;99;R$431.244,94;R$28.749,66;R$1.721,54;R$89,56;R$14,82;-;R$0,00
596;22/02/2006;2;18;20;22;31;46;50;51;54;60;63;66;70;73;80;81;86;88;90;99;R$550.502,36;R$11.789,97;R$1.216,01;R$71,69;R$12,83;-;R$135.584,68
597;25/02/2006;1;4;9;13;16;26;27;33;45;53;57;62;63;64;65;77;78;86;94;97;R$0,00;R$24.543,82;R$1.478,54;R$76,85;R$12,07;-;R$0,00
598;01/03/2006;6;9;22;23;38;40;54;57;60;63;65;67;73;75;78;79;80;82;89;90;R$0,00;R$35.829,74;R$2.139,09;R$122,46;R$18,48;-;R$0,00
599;04/03/2006;3;10;24;28;31;39;41;43;49;53;55;59;76;80;85;89;90;94;95;97;R$0,00;R$74.763,69;R$3.215,64;R$140,40;R$20,81;-;R$0,00
